"Yes","Yes"
"No","No"
"Save And Continue Edit","Save And Continue Edit"
"Id","Id"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"Excel","Excel"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Home","Home"
"None","None"
"Taxrate","Taxrate"
"Save Taxrate","Save Taxrate"
"Delete Taxrate","Delete Taxrate"
"Edit Taxrate '%s'","Edit Taxrate '%s'"
"Add Taxrate","Add Taxrate"
"Taxrates","Taxrates"
"This taxrate no longer exists.","This taxrate no longer exists."
"Taxrate was successfully saved","Taxrate was successfully saved"
"There was a problem saving the taxrate.","There was a problem saving the taxrate."
"Unable to find taxrate to save.","Unable to find taxrate to save."
"Taxrate was successfully deleted.","Taxrate was successfully deleted."
"There was an error deleteing taxrate.","There was an error deleteing taxrate."
"Could not find taxrate to delete.","Could not find taxrate to delete."
"Please select taxrates to delete.","Please select taxrates to delete."
"Total of %d taxrates were successfully deleted.","Total of %d taxrates were successfully deleted."
"There was an error deleteing taxrates.","There was an error deleteing taxrates."
"Total of %d taxrates were successfully updated.","Total of %d taxrates were successfully updated."
"There was an error updating taxrates.","There was an error updating taxrates."
"Please select taxrates.","Please select taxrates."
"Taxrate Title","Taxrate Title"
"",""
"Tax Rate","Tax Rate"
"",""
